quant,bits,group,rb,rc,rdt,layer_mode,ppl
hadamard,8,128,8,8,80,mid,16.3545
hadamard,8,128,8,8,40,all,41.4771
hadamard,8,128,8,8,40,mid,17.1828
hadamard,4,64,16,16,160,all,12.4159
hadamard,4,64,16,16,160,mid,12.3937
hadamard,4,64,16,16,120,all,12.7147
hadamard,4,64,16,16,120,mid,12.4697
hadamard,4,64,16,16,80,all,13.1766
hadamard,4,64,16,16,80,mid,12.5878
hadamard,4,64,16,16,40,all,14.5257
hadamard,4,64,16,16,40,mid,12.9794
hadamard,4,64,16,12,160,all,14.3163
hadamard,4,64,16,12,160,mid,13.3128
hadamard,4,64,16,12,120,all,14.7047
hadamard,4,64,16,12,120,mid,13.4069
hadamard,4,64,16,12,80,all,15.3344
hadamard,4,64,16,12,80,mid,13.5765
hadamard,4,64,16,12,40,all,17.2220
hadamard,4,64,16,12,40,mid,14.1481
hadamard,4,64,16,8,160,all,17.3530
hadamard,4,64,16,8,160,mid,14.4398
hadamard,4,64,16,8,120,all,17.8398
hadamard,4,64,16,8,120,mid,14.5754
hadamard,4,64,16,8,80,all,19.0869
hadamard,4,64,16,8,80,mid,14.8254
hadamard,4,64,16,8,40,all,21.6392
hadamard,4,64,16,8,40,mid,15.6686
hadamard,4,64,12,16,160,all,13.1220
hadamard,4,64,12,16,160,mid,12.6810
hadamard,4,64,12,16,120,all,13.4374
hadamard,4,64,12,16,120,mid,12.7216
hadamard,4,64,12,16,80,all,13.9532
hadamard,4,64,12,16,80,mid,12.8623
hadamard,4,64,12,16,40,all,15.4330
hadamard,4,64,12,16,40,mid,13.4162
hadamard,4,64,12,12,160,all,16.3153
hadamard,4,64,12,12,160,mid,13.7117
hadamard,4,64,12,12,120,all,16.8642
hadamard,4,64,12,12,120,mid,13.8068
hadamard,4,64,12,12,80,all,17.6587
hadamard,4,64,12,12,80,mid,13.9999
hadamard,4,64,12,12,40,all,19.9133
hadamard,4,64,12,12,40,mid,14.6515
hadamard,4,64,12,8,160,all,21.4365
hadamard,4,64,12,8,160,mid,14.9094
hadamard,4,64,12,8,120,all,22.0838
hadamard,4,64,12,8,120,mid,15.0187
hadamard,4,64,12,8,80,all,23.7511
hadamard,4,64,12,8,80,mid,15.2953
hadamard,4,64,12,8,40,all,27.2834
hadamard,4,64,12,8,40,mid,16.1344
hadamard,4,64,8,16,160,all,14.8970
hadamard,4,64,8,16,160,mid,13.4543
hadamard,4,64,8,16,120,all,15.2983
hadamard,4,64,8,16,120,mid,13.5512
hadamard,4,64,8,16,80,all,16.1148
hadamard,4,64,8,16,80,mid,13.7292
hadamard,4,64,8,16,40,all,18.3079
hadamard,4,64,8,16,40,mid,14.3651
hadamard,4,64,8,12,160,all,21.8834
hadamard,4,64,8,12,160,mid,15.0403
hadamard,4,64,8,12,120,all,22.6700
hadamard,4,64,8,12,120,mid,15.1589
hadamard,4,64,8,12,80,all,24.0302
hadamard,4,64,8,12,80,mid,15.4021
hadamard,4,64,8,12,40,all,27.7964
hadamard,4,64,8,12,40,mid,16.1688
hadamard,4,64,8,8,160,all,32.1505
hadamard,4,64,8,8,160,mid,15.9678
hadamard,4,64,8,8,120,all,32.9216
hadamard,4,64,8,8,120,mid,16.0804
hadamard,4,64,8,8,80,all,36.0890
hadamard,4,64,8,8,80,mid,16.3572
hadamard,4,64,8,8,40,all,41.5601
hadamard,4,64,8,8,40,mid,17.1860
hadamard,4,128,16,16,160,all,12.4185
hadamard,4,128,16,16,160,mid,12.4048
hadamard,4,128,16,16,120,all,12.7254
hadamard,4,128,16,16,120,mid,12.4648
hadamard,4,128,16,16,80,all,13.1871
hadamard,4,128,16,16,80,mid,12.5890
hadamard,4,128,16,16,40,all,14.5478
hadamard,4,128,16,16,40,mid,12.9854
hadamard,4,128,16,12,160,all,14.2933
hadamard,4,128,16,12,160,mid,13.2974
hadamard,4,128,16,12,120,all,14.6878
hadamard,4,128,16,12,120,mid,13.3899
hadamard,4,128,16,12,80,all,15.3414
hadamard,4,128,16,12,80,mid,13.5835
hadamard,4,128,16,12,40,all,17.2505
hadamard,4,128,16,12,40,mid,14.1314
hadamard,4,128,16,8,160,all,17.3943
hadamard,4,128,16,8,160,mid,14.4707
hadamard,4,128,16,8,120,all,17.8544
hadamard,4,128,16,8,120,mid,14.5823
hadamard,4,128,16,8,80,all,19.0862
hadamard,4,128,16,8,80,mid,14.8350
hadamard,4,128,16,8,40,all,21.6639
hadamard,4,128,16,8,40,mid,15.6483
hadamard,4,128,12,16,160,all,13.1384
hadamard,4,128,12,16,160,mid,12.6900
hadamard,4,128,12,16,120,all,13.4306
hadamard,4,128,12,16,120,mid,12.7312
