quant,bits,group,rb,rc,rdt,layer_mode,ppl
hadamard,8,64,12,4,160,late,14.7389
hadamard,8,64,12,4,160,early,13.1916
hadamard,8,64,12,4,120,all,35.4368
hadamard,8,64,12,4,120,mid,18.0110
hadamard,8,64,12,4,120,late,15.0983
hadamard,8,64,12,4,120,early,13.1954
hadamard,8,64,12,4,80,all,37.6389
hadamard,8,64,12,4,80,mid,18.3411
hadamard,8,64,12,4,80,late,15.4692
hadamard,8,64,12,4,80,early,13.2207
hadamard,8,64,12,4,40,all,42.7370
hadamard,8,64,12,4,40,mid,19.1543
hadamard,8,64,12,4,40,late,16.5144
hadamard,8,64,12,4,40,early,13.3036
hadamard,8,64,12,4,20,all,51.8778
hadamard,8,64,12,4,20,mid,20.4185
hadamard,8,64,12,4,20,late,17.8677
hadamard,8,64,12,4,20,early,13.4188
hadamard,8,64,8,16,160,all,14.8322
hadamard,8,64,8,16,160,mid,13.4225
hadamard,8,64,8,16,160,late,12.9163
hadamard,8,64,8,16,160,early,12.4887
hadamard,8,64,8,16,120,all,15.2883
hadamard,8,64,8,16,120,mid,13.5350
hadamard,8,64,8,16,120,late,13.2148
hadamard,8,64,8,16,120,early,12.5123
hadamard,8,64,8,16,80,all,16.0671
hadamard,8,64,8,16,80,mid,13.7279
hadamard,8,64,8,16,80,late,13.6628
hadamard,8,64,8,16,80,early,12.5098
hadamard,8,64,8,16,40,all,18.3258
hadamard,8,64,8,16,40,mid,14.3715
hadamard,8,64,8,16,40,late,14.5910
hadamard,8,64,8,16,40,early,12.5401
hadamard,8,64,8,16,20,all,23.2526
hadamard,8,64,8,16,20,mid,15.7848
hadamard,8,64,8,16,20,late,15.8450
hadamard,8,64,8,16,20,early,12.6249
hadamard,8,64,8,12,160,all,21.7884
hadamard,8,64,8,12,160,mid,15.0326
hadamard,8,64,8,12,160,late,13.6131
hadamard,8,64,8,12,160,early,12.6784
hadamard,8,64,8,12,120,all,22.6293
hadamard,8,64,8,12,120,mid,15.1625
hadamard,8,64,8,12,120,late,13.9191
hadamard,8,64,8,12,120,early,12.6798
hadamard,8,64,8,12,80,all,23.8947
hadamard,8,64,8,12,80,mid,15.3659
hadamard,8,64,8,12,80,late,14.3500
hadamard,8,64,8,12,80,early,12.7081
hadamard,8,64,8,12,40,all,27.7272
hadamard,8,64,8,12,40,mid,16.1830
hadamard,8,64,8,12,40,late,15.3261
hadamard,8,64,8,12,40,early,12.7487
hadamard,8,64,8,12,20,all,34.7589
hadamard,8,64,8,12,20,mid,17.7254
hadamard,8,64,8,12,20,late,16.5890
hadamard,8,64,8,12,20,early,12.8166
hadamard,8,64,8,8,160,all,31.9039
hadamard,8,64,8,8,160,mid,15.9646
hadamard,8,64,8,8,160,late,13.8627
hadamard,8,64,8,8,160,early,12.8617
hadamard,8,64,8,8,120,all,33.2718
hadamard,8,64,8,8,120,mid,16.0814
hadamard,8,64,8,8,120,late,14.2675
hadamard,8,64,8,8,120,early,12.8638
hadamard,8,64,8,8,80,all,35.7631
hadamard,8,64,8,8,80,mid,16.3638
hadamard,8,64,8,8,80,late,14.7300
hadamard,8,64,8,8,80,early,12.8852
hadamard,8,64,8,8,40,all,41.5042
hadamard,8,64,8,8,40,mid,17.1578
hadamard,8,64,8,8,40,late,15.7043
hadamard,8,64,8,8,40,early,12.9495
hadamard,8,64,8,8,20,all,53.0357
hadamard,8,64,8,8,20,mid,18.6387
hadamard,8,64,8,8,20,late,17.1576
hadamard,8,64,8,8,20,early,13.0444
hadamard,8,64,8,4,160,all,37.7011
hadamard,8,64,8,4,160,mid,18.7553
hadamard,8,64,8,4,160,late,14.8485
hadamard,8,64,8,4,160,early,13.2650
hadamard,8,64,8,4,120,all,39.1365
hadamard,8,64,8,4,120,mid,18.9047
hadamard,8,64,8,4,120,late,15.2516
hadamard,8,64,8,4,120,early,13.2770
hadamard,8,64,8,4,80,all,41.7207
hadamard,8,64,8,4,80,mid,19.1806
hadamard,8,64,8,4,80,late,15.7217
hadamard,8,64,8,4,80,early,13.2937
hadamard,8,64,8,4,40,all,47.8467
hadamard,8,64,8,4,40,mid,19.9135
hadamard,8,64,8,4,40,late,16.8382
hadamard,8,64,8,4,40,early,13.3908
hadamard,8,64,8,4,20,all,58.9056
hadamard,8,64,8,4,20,mid,21.1819
hadamard,8,64,8,4,20,late,18.2443
hadamard,8,64,8,4,20,early,13.5099
hadamard,8,64,4,16,160,all,22.3853
hadamard,8,64,4,16,160,mid,14.9417
hadamard,8,64,4,16,160,late,13.8318
hadamard,8,64,4,16,160,early,12.6758
hadamard,8,64,4,16,120,all,23.4019
hadamard,8,64,4,16,120,mid,15.1301
hadamard,8,64,4,16,120,late,14.2044
hadamard,8,64,4,16,120,early,12.6721
hadamard,8,64,4,16,80,all,25.1513
hadamard,8,64,4,16,80,mid,15.4019
hadamard,8,64,4,16,80,late,14.7319
hadamard,8,64,4,16,80,early,12.7057
hadamard,8,64,4,16,40,all,29.3524
hadamard,8,64,4,16,40,mid,16.1885
hadamard,8,64,4,16,40,late,15.7309
hadamard,8,64,4,16,40,early,12.7627
hadamard,8,64,4,16,20,all,36.9626
hadamard,8,64,4,16,20,mid,17.5461
hadamard,8,64,4,16,20,late,17.0732
hadamard,8,64,4,16,20,early,12.8538
hadamard,8,64,4,12,160,all,35.9158
hadamard,8,64,4,12,160,mid,17.3842
hadamard,8,64,4,12,160,late,15.1327
hadamard,8,64,4,12,160,early,12.9446
hadamard,8,64,4,12,120,all,37.2083
hadamard,8,64,4,12,120,mid,17.5376
hadamard,8,64,4,12,120,late,15.4622
hadamard,8,64,4,12,120,early,12.9716
hadamard,8,64,4,12,80,all,39.4708
hadamard,8,64,4,12,80,mid,17.7552
hadamard,8,64,4,12,80,late,15.9292
hadamard,8,64,4,12,80,early,12.9821
hadamard,8,64,4,12,40,all,45.5535
hadamard,8,64,4,12,40,mid,18.4944
hadamard,8,64,4,12,40,late,16.9116
hadamard,8,64,4,12,40,early,13.0569
hadamard,8,64,4,12,20,all,55.8886
